arquivo,link
2017Tarefa1-GrupoA.pdf,https://drive.google.com/file/d/1yaV7QkIfzP2C7lX05rl6k2BCSR6_MUv0/view?usp=drivesdk
2018Tarefa4-GrupoB.pdf,https://drive.google.com/file/d/1LSi69q0HqG5gr8l6Ih6p3FSEdsex6MQi/view?usp=drivesdk
2018Tarefa1-GrupoB.pdf,https://drive.google.com/file/d/1WI4Ce4dvuu4AL07v770ZVrIkVcTYBYNM/view?usp=drivesdk
2018Tarefa3-GrupoA.pdf,https://drive.google.com/file/d/1d_Xg75sp2pYMtazeBioZ_bqXmSe8T3qr/view?usp=drivesdk
2018Tarefa4-GrupoC.pdf,https://drive.google.com/file/d/1hlO3AGzJxcCZOvxzuaG0WppDULs9BMH-/view?usp=drivesdk
2018Tarefa1-GrupoC.pdf,https://drive.google.com/file/d/1suVGMpQBBWIYJn-WFV801fG0X2QLJaPP/view?usp=drivesdk
2018Tarefa3-GrupoC.pdf,https://drive.google.com/file/d/13qck1aGrJ66qWpNY10XuONVETC8nDKwC/view?usp=drivesdk
2018Tarefa4-GrupoA-Apoio.pdf,https://drive.google.com/file/d/16f2LsxqwLeaOnfMwb_gfHxhKP3PJPQ0-/view?usp=drivesdk
2018Tarefa2-GrupoC.pdf,https://drive.google.com/file/d/1AP_8pW7lepOlcPOI3HoXC37XhSHLBv2g/view?usp=drivesdk
2018Tarefa2-GrupoB.pdf,https://drive.google.com/file/d/1BrVtiGK91hSfMEQx961l3H3CGkZa8MN7/view?usp=drivesdk
2018Tarefa4-GrupoA-Teoria.pdf,https://drive.google.com/file/d/1NKrsvirfta8Lv2OJPPluPdW60w4xHYX1/view?usp=drivesdk
2018Tarefa2-GrupoA.pdf,https://drive.google.com/file/d/1_9fybYDIKBHlzdDjO60fGjIg9mvFV-B1/view?usp=drivesdk
2018Tarefa1-GrupoA.pdf,https://drive.google.com/file/d/1nDGcmVkQvm9-Hdv4onfFpDjuHBo7_hur/view?usp=drivesdk
2018Tarefa3-GrupoB.pdf,https://drive.google.com/file/d/1onEeG8DDG43ZQW88kpu_vYjem6L-mBIg/view?usp=drivesdk
2024Tarefa4-GrupoC.pdf,https://drive.google.com/file/d/1824k4CV6AveXX3B1m1ACOPR8lluC7kYX/view?usp=drivesdk
2024Tarefa1-GrupoG.pdf,https://drive.google.com/file/d/18ZCMMJxKX0gxXyPXCtZtEAkfvvkjJlqt/view?usp=drivesdk
2024Tarefa2-GrupoD.pdf,https://drive.google.com/file/d/1GFMFDpXVPA6vE6Hm0y7FhMnn_OACxcfB/view?usp=drivesdk
2024Tarefa4-GrupoA.pdf,https://drive.google.com/file/d/1GFiX2Vxf3yzh359bSI5_2ZHX8oHxJ6OI/view?usp=drivesdk
2024Tarefa3-GrupoA.pdf,https://drive.google.com/file/d/1JVyjmE3Hbkvn5lTn9zeI-YdQnzmGMMWv/view?usp=drivesdk
2024Tarefa3-GrupoF.pdf,https://drive.google.com/file/d/1JuLUQMFjwmNR3Ytbd0SQFWmPtXQpnpRR/view?usp=drivesdk
2024Tarefa1-GrupoE.pdf,https://drive.google.com/file/d/1LhWp0evmmUdiz7tRYR6_5wVQY6AHyJ_u/view?usp=drivesdk
2024Tarefa3-GrupoB.pdf,https://drive.google.com/file/d/1Ob6kDuUP1KkqZOysY5WvOkPn_7cif3IX/view?usp=drivesdk
2024Tarefa3-GrupoD.pdf,https://drive.google.com/file/d/1PDNHU_JHVeE_Y9e9ySVdu7YuI6e9u-i5/view?usp=drivesdk
2024Tarefa2-GrupoC.pdf,https://drive.google.com/file/d/1QUHWgV3k9h4MOzq1-QxY16PmSJopAwRw/view?usp=drivesdk
2024Tarefa4-GrupoB.pdf,https://drive.google.com/file/d/1S7C6is-gtQVtPCUSXbtDKZnyl5iyV6sz/view?usp=drivesdk
2024Tarefa4-GrupoE.pdf,https://drive.google.com/file/d/1X-NKc9wUAcY5fZpO0k6i8TkiW4NKLIOK/view?usp=drivesdk
2024Tarefa2-GrupoB.pdf,https://drive.google.com/file/d/1YnOFzBiif9k0YXeeiAiFQam-_--LHQI0/view?usp=drivesdk
2024Tarefa2-GrupoE.pdf,https://drive.google.com/file/d/1_1u5dXUk8J9zljdW4Zou62Bb725XUHdn/view?usp=drivesdk
2024Tarefa2-GrupoF.pdf,https://drive.google.com/file/d/1bNMPbshGuCgQzErMxKP6a_nKLiUUF30E/view?usp=drivesdk
2024Tarefa1-GrupoB.pdf,https://drive.google.com/file/d/1fDfkGXqOc2Us4uOORPlOo7E4xJ9LkSa9/view?usp=drivesdk
2024Tarefa3-GrupoC.pdf,https://drive.google.com/file/d/1hKlZS8oJZR8-2lNOyKwyJoEcEqEUToWz/view?usp=drivesdk
2024Tarefa3-GrupoE.pdf,https://drive.google.com/file/d/1qWHhREn1xXi84Kag0Is7z8TzpJUZ3dgH/view?usp=drivesdk
2024Tarefa4-GrupoD.pdf,https://drive.google.com/file/d/1sTQ0cMGS3aksLD1MXOddwZDf_DQutxlR/view?usp=drivesdk
2024Tarefa4-GrupoF.pdf,https://drive.google.com/file/d/1sdSLxCvxHDkWWoDeEI4BaKvG10GI6_-O/view?usp=drivesdk
2024Tarefa2-GrupoA.pdf,https://drive.google.com/file/d/1tb7s-zxeZiTNyelyY734H_SxRtIsQhHG/view?usp=drivesdk
2024Tarefa1-GrupoF.pdf,https://drive.google.com/file/d/1ue3MwJu54thFuqt-Y_XztWnaRN6wKv-8/view?usp=drivesdk
2024Tarefa1-GrupoC.pdf,https://drive.google.com/file/d/1w1nPWRoBKVQVi5ZoyKoVXxU-eg80vyng/view?usp=drivesdk
2024Tarefa1-GrupoD.pdf,https://drive.google.com/file/d/1w25VxBIPvurT3djtkcSihSl__KW6jvf6/view?usp=drivesdk
2019Tarefa4-GrupoA-Teoria.pdf,https://drive.google.com/file/d/10-mS2empFn6ybDqdI6gbvWrQd4BBYfcI/view?usp=drivesdk
2019Tarefa2-GrupoG.pdf,https://drive.google.com/file/d/149xY4iRlxH5gIqscD1m4gDUeAqerNkI4/view?usp=drivesdk
2019Tarefa1-GrupoG.pdf,https://drive.google.com/file/d/16RE8tIlo4FsJYsl869iVTzbBFADJB7xY/view?usp=drivesdk
2019Tarefa4-GrupoD.pdf,https://drive.google.com/file/d/17alS1g8akeBi07axpI5FJ85e7V2Z_aZk/view?usp=drivesdk
2019Tarefa2-GrupoA.pdf,https://drive.google.com/file/d/18VM2KEeVmcMYrNt7beZFwVHq6KfqaH-M/view?usp=drivesdk
2019Tarefa1-GrupoA.pdf,https://drive.google.com/file/d/19EbU5OrPbGbKt9wlZxC9AofH9aH-i17Y/view?usp=drivesdk
2019Tarefa3-GrupoA.pdf,https://drive.google.com/file/d/1B58666OtHZIFPWfZ6-b_2zo9qUKICLer/view?usp=drivesdk
2019Tarefa3-GrupoC.pdf,https://drive.google.com/file/d/1C4So_PcJ0latgMIXCjHt1DOGYUdCSPus/view?usp=drivesdk
2019Tarefa2-GrupoE.pdf,https://drive.google.com/file/d/1CUCixZu0zxkcdiPnozZUVcoscKc-lwBR/view?usp=drivesdk
2019Tarefa3-GrupoE.pdf,https://drive.google.com/file/d/1Er8wHL5Y48VmB-Pp0decO_MltmXUZFqq/view?usp=drivesdk
2019Tarefa1-GrupoH.pdf,https://drive.google.com/file/d/1Gs4L9xqbPFu42ZOGcBYEbvZ8OkYgd1s7/view?usp=drivesdk
2019Tarefa2-GrupoD.pdf,https://drive.google.com/file/d/1HzOhijlEP8uu7Gk82q3A44LwT9hlRD7U/view?usp=drivesdk
2019Tarefa1 -GrupoE.pdf,https://drive.google.com/file/d/1JYOZ13D071wHb16NFHpSywsNTZ6zyv7Y/view?usp=drivesdk
2019Tarefa4-GrupoF.pdf,https://drive.google.com/file/d/1K_pq5oG1HprKPXjiLZOb8sDFsudVMhtO/view?usp=drivesdk
2019Tarefa2-GrupoC.pdf,https://drive.google.com/file/d/1L3p_bRD2CaHA63KLDdhvFtUmn3rg_WL-/view?usp=drivesdk
2019Tarefa1-GrupoB.pdf,https://drive.google.com/file/d/1U4cwfAJHaD7_JvGIQGuqlIEJMHi2IUtR/view?usp=drivesdk
2019Tarefa3-GrupoF.pdf,https://drive.google.com/file/d/1Vw5ywpeAUXGAPBBQdfBeJKm9nSBcY2h5/view?usp=drivesdk
2019Tarefa4-GrupoA-Apoio.pdf,https://drive.google.com/file/d/1WeDrC3Wj3ITlRx6Zpt1j1Q6Bsj_UkBWj/view?usp=drivesdk
2019Tarefa4-GrupoG.pdf,https://drive.google.com/file/d/1dqqUEpM9EfHt-4Lufeamzq-jX2b-R8pX/view?usp=drivesdk
2019Tarefa4-GrupoA.pdf,https://drive.google.com/file/d/1jCWJRw0IsfUnJbx88U4wkfierWuMJP4w/view?usp=drivesdk
2019Tarefa2-GrupoB.pdf,https://drive.google.com/file/d/1knQrHY-TQfuu58bRgNZ8IMAzoXbtQu9g/view?usp=drivesdk
2019Tarefa3-GrupoD.pdf,https://drive.google.com/file/d/1lA_4nd-Z5C6QjUq50agg0C4rFSurmKkb/view?usp=drivesdk
2019Tarefa1-GrupoC.pdf,https://drive.google.com/file/d/1qqicfygVIZzt3I1bxHsSZR3I6n8fpk5G/view?usp=drivesdk
2019Tarefa3-GrupoB.pdf,https://drive.google.com/file/d/1rVYAG9RliY09xWPgBy6zda-WZ63dIDvF/view?usp=drivesdk
2019Tarefa4-GrupoB.pdf,https://drive.google.com/file/d/1t2skZW55KL6ZA_HdZEqD_VZKDLuwrSkE/view?usp=drivesdk
2019Tarefa4-GrupoC.pdf,https://drive.google.com/file/d/1vWTitSZWRX36WDa7qcD44V44RJZj288W/view?usp=drivesdk
2019Tarefa1-GrupoD.pdf,https://drive.google.com/file/d/1vfbSZNgmMe1LsxgwlcY3KuPazKSiKS7U/view?usp=drivesdk
2019Tarefa2-GrupoF.pdf,https://drive.google.com/file/d/1yTvqcnffmI5WgrOLpJJ8UanXcCx9YUbq/view?usp=drivesdk
2019Tarefa4-Grupo E.pdf,https://drive.google.com/file/d/1zsu3I1LWtap8PZzCzY5FBS6wbxIJensc/view?usp=drivesdk
2019Tarefa3-GrupoG.pdf,https://drive.google.com/file/d/1nJSzy9K5Yj9WKj3g7Isu1QWWazlZbTvx/view?usp=drivesdk
2015Tarefa2-GrupoB.pdf,https://drive.google.com/file/d/14zvwiO5cieNCJOhjwNFVhwQXz1deGZjg/view?usp=drivesdk
2015Tarefa2-GrupoA.pdf,https://drive.google.com/file/d/15Dh5BX62tu-HLYI7zSHB8kHYlbpSZoFq/view?usp=drivesdk
2015Tarefa1-GrupoA.pdf,https://drive.google.com/file/d/16OYt3wLmRcMOnAsc2tZZoLx_tBDfYgfA/view?usp=drivesdk
2015Tarefa1-GrupoC.pdf,https://drive.google.com/file/d/16jDChvKxm7qKXj_rOlDjiL-74qDFPIKj/view?usp=drivesdk
2015Tarefa3-GrupoC.pdf,https://drive.google.com/file/d/17gKey5upLjcgyEU98WjUum5jaVDrmufb/view?usp=drivesdk
2015Tarefa3-GrupoB.pdf,https://drive.google.com/file/d/1KJwBqsBD_T7qY3D5iU58mqFJMTYbMHQW/view?usp=drivesdk
2015Tarefa1-GrupoB.pdf,https://drive.google.com/file/d/1KjmKhWG63Os3P8aJ6577J3MqbCeGiQ12/view?usp=drivesdk
2015Tarefa2-GrupoC.pdf,https://drive.google.com/file/d/1L74l2m-0QiI7rOCvOSzVuh0efpuuXUl7/view?usp=drivesdk
2015Tarefa3-GrupoA.pdf,https://drive.google.com/file/d/1LmxR25TclRssqigZ6swkgurJ4xHXvRbi/view?usp=drivesdk
2015Tarefa4-GrupoC.pdf,https://drive.google.com/file/d/1S1u4Q33BGVoK6_RXiAD3mMejYh8MuXhA/view?usp=drivesdk
2015Tarefa4-GrupoA.pdf,https://drive.google.com/file/d/1bPSUAuXFumzPW84z99gCpUNbgUUn6WLR/view?usp=drivesdk
2015Tarefa5-GrupoB.pdf,https://drive.google.com/file/d/1dEsAewFTs5Qj_Qw0fC2qRC_zB71N34Gd/view?usp=drivesdk
2015Tarefa5-GrupoC.pdf,https://drive.google.com/file/d/1qytLAL1HAp-eeVvdw49IH4OvzphmVCwT/view?usp=drivesdk
2015Tarefa4-GrupoB.pdf,https://drive.google.com/file/d/1vhVRorhwkvq06WCprTp0wh_3kMkVRSMb/view?usp=drivesdk
2016Tarefa5-GrupoB.zip,https://drive.google.com/file/d/134DVQKH-gQMBWsADdiHcCxhDGRRh_nIS/view?usp=drivesdk
2016Tarefa4-GrupoD.pdf,https://drive.google.com/file/d/135df48hQziLn_ZFnQR_lv1EPSn2pHHKF/view?usp=drivesdk
2016Tarefa3-GrupoD.pdf,https://drive.google.com/file/d/163TzPItEdKco_Frcx5GijgkHZVN3TGFh/view?usp=drivesdk
2016Tarefa5-GrupoD.zip,https://drive.google.com/file/d/19baXl4hrLcDW759g0p7u6cZ__4uwUSu2/view?usp=drivesdk
2016Tarefa1-GrupoF.pdf,https://drive.google.com/file/d/1B33n7wknEjzP0tFwTCfwOtpaGvDxE8Ww/view?usp=drivesdk
2016Tarefa5-GrupoA.pdf,https://drive.google.com/file/d/1Bvim_oqqj3AY_4ctg5yBMzKVwPnLHA2a/view?usp=drivesdk
2016Tarefa4-GrupoC.pdf,https://drive.google.com/file/d/1FLThdvhpzIx7G_aKKEk8F-AARzYiKbU0/view?usp=drivesdk
2016Tarefa3-GrupoC.pdf,https://drive.google.com/file/d/1G0e0Obcgh_Pr3cGfGULT7Ddo8OvMwFfs/view?usp=drivesdk
2016Tarefa2-GrupoA.pdf,https://drive.google.com/file/d/1Gmi4gLAImSBu1UO5KFDXUMhf4mnTny3m/view?usp=drivesdk
2016Tarefa4-GrupoF.pdf,https://drive.google.com/file/d/1Hx-o-_NZ68tu7-ghy6QyonI2msCBO4yG/view?usp=drivesdk
2016Tarefa1-GrupoA.pdf,https://drive.google.com/file/d/1L0gAFQqfg4bkPqJQNUT4fPrCmUuH_7gv/view?usp=drivesdk
2016Tarefa4-GrupoA.pdf,https://drive.google.com/file/d/1LGcz32X2Aeig4_iSmN2fyXsNQyU4_sjm/view?usp=drivesdk
2016Tarefa4-GrupoB.pdf,https://drive.google.com/file/d/1LIIMAI6D7VHbt10sRP9-srUIG5OdAa99/view?usp=drivesdk
2016Tarefa3-GrupoA.pdf,https://drive.google.com/file/d/1Pxxypm7Li3yi2IrpfCJt6Pn_hudO2mqG/view?usp=drivesdk
2016Tarefa3-GrupoF.pdf,https://drive.google.com/file/d/1SthdurXpThpUWl8wOOT1TBG4-OFBwBCN/view?usp=drivesdk
2016Tarefa1-GrupoC.pdf,https://drive.google.com/file/d/1UZUY1Givm7xELXMVLuIfwT6S9c4GvB1Z/view?usp=drivesdk
2016Tarefa3-GrupoE.pdf,https://drive.google.com/file/d/1XD4PWmtVVcoDOuKf44qYdSLe4aMbFc5C/view?usp=drivesdk
2016Tarefa4-GrupoE.pdf,https://drive.google.com/file/d/1XkLkkJgVso_oxHLkwlDt8vOHkDJCzsEq/view?usp=drivesdk
2016Tarefa5-GrupoF.rar,https://drive.google.com/file/d/1XtYsLyv063qw32dqy2byPFtEkeS1Z4Dp/view?usp=drivesdk
2016Tarefa2-GrupoD.pdf,https://drive.google.com/file/d/1ZrEB8CSdOsyV3Zzcw8Czd4TrtaUb5CHS/view?usp=drivesdk
2016Tarefa5-GrupoC.pdf,https://drive.google.com/file/d/1_4FTjPDl-pysBdFvSpePKFrQy_J5mkW5/view?usp=drivesdk
2016Tarefa3-GrupoB.pdf,https://drive.google.com/file/d/1_QFXr9R2u-WN92s3EfCZSNeiJYvGIBVe/view?usp=drivesdk
2016Tarefa2-GrupoC.pdf,https://drive.google.com/file/d/1dajhiJC7dlt0v713MpXIZX2tTDox4jiZ/view?usp=drivesdk
2016Tarefa1-GrupoD.pdf,https://drive.google.com/file/d/1e2eCM04QT15jfvJrdfLk612Ycmsd_Z4O/view?usp=drivesdk
2016Tarefa2-GrupoF.pdf,https://drive.google.com/file/d/1eh-DEJ3oVe3qUB7QyDKL9ZW331zrXScE/view?usp=drivesdk
2016Tarefa2-GrupoB.pdf,https://drive.google.com/file/d/1gMTz8jp5yt6cFFe4aKBowk0-ejV98vfm/view?usp=drivesdk
